symbol,company,price,market_cap,pe_ratio,sector,industry,headquarters,date_added,founded
LUV,Southwest Airlines,32.22,19000000000,12.4,Industrials,Passenger Airlines,"Dallas,  Texas",1977-09-30,1967
SWK,Stanley Black & Decker,92.22,14000000000,18.2,Industrials,Industrial Machinery & Supplies & Components,"New Britain,  Connecticut",1985-06-30,1843
SBUX,Starbucks,92.22,105000000000,26.1,Consumer Discretionary,Restaurants,"Seattle,  Washington",1992-06-26,1971
STT,State Street,72.22,23000000000,10.4,Financials,Asset Management & Custody Banks,"Boston,  Massachusetts",1970-03-31,1792
STE,Steris,212.22,21000000000,28.1,Health Care,Health Care Equipment,"Dublin,  Ireland",2015-11-02,1985
SYK,Stryker,312.22,120000000000,32.4,Health Care,Health Care Equipment,"Kalamazoo,  Michigan",2000-12-15,1941
SIVB,SVB Financial,12.22,900000000,3.1,Financials,Diversified Banks,"Santa Clara,  California",2004-03-15,1983
SYF,Synchrony Financial,32.22,14000000000,6.8,Financials,Consumer Finance,"Stamford,  Connecticut",2014-07-31,2003
SNPS,Synopsys,482.22,74000000000,52.1,Information Technology,Application Software,"Mountain View,  California",2003-03-25,1986
SYY,Sysco,72.22,36000000000,17.4,Consumer Staples,Food Retail,"Houston,  Texas",1983-11-30,1969
TMUS,T-Mobile US,162.22,190000000000,22.1,Communication Services,Wireless Telecommunication Services,"Bellevue,  Washington",2013-05-01,1994
TGT,Target,142.22,66000000000,18.4,Consumer Discretionary,General Merchandise Retail,"Minneapolis,  Minnesota",1976-12-31,1902
TEL,TE Connectivity,142.22,44000000000,20.1,Information Technology,Electronic Components,"Schaffhausen,  Switzerland",2011-01-31,2007
TDY,Teledyne Technologies,412.22,19000000000,22.8,Industrials,Industrial Conglomerates,"Thousand Oaks,  California",2011-11-04,1960
TFX,Teleflex,212.22,10000000000,28.1,Health Care,Health Care Supplies,"Wayne,  Pennsylvania",2012-09-24,1943
TER,Teradyne,112.22,17000000000,21.4,Information Technology,Semiconductor Materials & Equipment,"North Reading,  Massachusetts",1996-05-31,1960
TSLA,Tesla,242.22,760000000000,62.1,Consumer Discretionary,Automobile Manufacturers,"Austin,  Texas",2010-07-01,2003
TXN,Texas Instruments,172.22,160000000000,23.8,Information Technology,Semiconductors,"Dallas,  Texas",1957-03-04,1930
TXT,Textron,82.22,19000000000,14.2,Industrials,Aerospace & Defense,"Providence,  Rhode Island",1957-03-04,1923
TMO,Thermo Fisher Scientific,482.22,190000000000,32.1,Health Care,Life Sciences Tools & Services,"Waltham,  Massachusetts",2004-11-22,1956
TJX,TJX Companies,92.22,110000000000,24.1,Consumer Discretionary,Apparel Retail,"Framingham,  Massachusetts",1985-06-30,1956
TSCO,Tractor Supply,232.22,26000000000,22.8,Consumer Discretionary,Specialized Consumer Services,"Brentwood,  Tennessee",2004-02-19,1938
TT,Trane Technologies,312.22,72000000000,28.4,Industrials,Building Products,"Swords,  Ireland",2010-07-01,1871
TDG,TransDigm Group,1122.22,63000000000,44.1,Industrials,Aerospace & Defense,"Cleveland,  Ohio",2016-06-09,1993
TRV,Travelers Companies,172.22,40000000000,13.8,Financials,Property & Casualty Insurance,"New York City,  New York",2002-08-21,1853
TRMB,Trimble,52.22,13000000000,18.1,Information Technology,Electronic Equipment & Instruments,"Sunnyvale,  California",2013-06-24,1978
TFC,Truist Financial,32.22,45000000000,9.4,Financials,Diversified Banks,"Charlotte,  North Carolina",2019-12-09,1872
TWTR,Twitter,42.22,33000000000,18.4,Communication Services,Interactive Media & Services,"San Francisco,  California",2013-11-07,2006
TYL,Tyler Technologies,412.22,17000000000,48.1,Information Technology,Application Software,"Plano,  Texas",2017-06-28,1966
TSN,Tyson Foods,52.22,19000000000,11.4,Consumer Staples,Packaged Foods & Meats,"Springdale,  Arkansas",1987-02-02,1935
USB,U.S. Bancorp,42.22,65000000000,10.8,Financials,Regional Banks,"Minneapolis,  Minnesota",1984-12-31,1863
UDR,UDR Inc.,42.22,14000000000,27.4,Real Estate,Multi-Family Residential REITs,"Highlands Ranch,  Colorado",2001-03-15,1972
ULTA,Ulta Beauty,412.22,21000000000,18.8,Consumer Discretionary,Specialty Stores,"Bolingbrook,  Illinois",2016-04-18,1990
UNP,Union Pacific,212.22,130000000000,21.4,Industrials,Rail Transportation,"Omaha,  Nebraska",1957-03-04,1862
UAL,United Airlines,42.22,14000000000,7.8,Industrials,Passenger Airlines,"Chicago,  Illinois",2015-09-02,1926
UPS,United Parcel Service,172.22,150000000000,18.4,Industrials,Air Freight & Logistics,"Atlanta,  Georgia",1957-03-04,1907
URI,United Rentals,482.22,34000000000,17.8,Industrials,Trading Companies & Distributors,"Stamford,  Connecticut",2014-09-22,1997
UNH,UnitedHealth Group,482.22,450000000000,22.1,Health Care,Managed Health Care,"Minneapolis,  Minnesota",1994-07-01,1977
UHS,Universal Health Services,142.22,12000000000,13.4,Health Care,Health Care Facilities,"King of Prussia,  Pennsylvania",1991-12-31,1979
VLO,Valero Energy,142.22,52000000000,6.8,Energy,Oil & Gas Refining & Marketing,"San Antonio,  Texas",1997-12-31,1980
VTR,Ventas,42.22,17000000000,28.1,Real Estate,Health Care REITs,"Chicago,  Illinois",2001-03-30,1983
VRSN,Verisign,212.22,22000000000,32.1,Information Technology,Internet Services & Infrastructure,"Reston,  Virginia",1998-01-30,1995
VZ,Verizon,32.22,130000000000,7.8,Communication Services,Integrated Telecommunication Services,"New York City,  New York",1983-11-30,1983
VRTX,Vertex Pharmaceuticals,412.22,110000000000,27.8,Health Care,Biotechnology,"Boston,  Massachusetts",2011-07-18,1989
VFC,VF Corporation,22.22,8600000000,14.1,Consumer Discretionary,Apparel,"Denver,  Colorado",1957-03-04,1899
VTRS,Viatris,12.22,14000000000,4.8,Health Care,Pharmaceuticals,"Pittsburgh,  Pennsylvania",2020-11-16,2020
VICI,VICI Properties,32.22,32000000000,13.4,Real Estate,Specialized REITs,"New York City,  New York",2018-10-15,2017
V,Vistra,52.22,19000000000,10.8,Utilities,Electric Utilities,"Irving,  Texas",2018-02-20,1882
V, Visa,242.22,520000000000,29.4,Financials,Transaction & Payment Processing Services,"Foster City,  California",2008-03-19,1958
VMC,Vulcan Materials,212.22,29000000000,27.1,Materials,Construction Materials,"Birmingham,  Alabama",1999-06-30,1909
WRB,W.R. Berkley,72.22,21000000000,13.8,Financials,Property & Casualty Insurance,"Greenwich,  Connecticut",1973-12-31,1967
GWW,W.W. Grainger,842.22,42000000000,28.4,Industrials,Trading Companies & Distributors,"Lake Forest,  Illinois",1981-06-30,1927
WAB,Wabtec,142.22,26000000000,22.1,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh,  Pennsylvania",2019-02-25,1869
WBA,Walgreens Boots Alliance,22.22,19000000000,8.4,Consumer Staples,Drug Retail,"Deerfield,  Illinois",2014-12-31,1901
WMT,Walmart,162.22,430000000000,28.1,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville,  Arkansas",1972-08-25,1962
WBD,Warner Bros. Discovery,12.22,26000000000,8.1,Communication Services,Movies & Entertainment,"New York City,  New York",2022-04-08,2022
WM,Waste Management,172.22,72000000000,29.4,Industrials,Environmental & Facilities Services,"Houston,  Texas",1988-02-01,1968
WAT,Waters Corporation,312.22,19000000000,27.8,Health Care,Life Sciences Tools & Services,"Milford,  Massachusetts",2002-11-22,1958
WEC,WEC Energy Group,82.22,26000000000,18.4,Utilities,Electric Utilities,"Milwaukee,  Wisconsin",1988-01-04,1896
WFC,Wells Fargo,42.22,150000000000,10.2,Financials,Diversified Banks,"San Francisco,  California",1972-06-30,1852
